date,obs,pred
29/11/1991,1.0368,0.119341195
30/11/1991,0.9504,0.089214018
1/12/1991,0.7776,0.055503572
2/12/1991,0.6912,0.043297727
3/12/1991,0.7776,0.039095154
4/12/1991,0.6912,0.028981734
5/12/1991,0.6048,0.017314996
6/12/1991,0.6048,0.015419976
7/12/1991,0.6048,0.014467529
8/12/1991,0.6912,0.014075893
9/12/1991,0.6912,0.013701387
10/12/1991,0.6048,0.013343015
11/12/1991,0.2592,0.012999823
12/12/1991,0.1728,0.012670916
13/12/1991,0.1728,0.012355478
14/12/1991,0.0864,0.012052753
15/12/1991,0.0864,0.011762035
16/12/1991,0.1728,0.011482667
17/12/1991,0.1728,0.011214037
18/12/1991,0.1728,0.010955577
19/12/1991,0.1728,0.010706755
20/12/1991,0.1728,0.011993412
21/12/1991,0.2592,0.012346236
22/12/1991,0.2592,0.010013299
23/12/1991,0.3456,0.009798362
24/12/1991,0.2592,0.009590875
25/12/1991,0.2592,0.009390483
26/12/1991,0.1728,0.009196851
27/12/1991,0.1728,0.009009667
28/12/1991,0.1728,0.008828633
29/12/1991,0.1728,0.008653472
30/12/1991,0.1728,0.008483919
31/12/1991,0.1728,0.008319728
1/01/1992,0.0864,0.008160664
2/01/1992,0.0864,0.008006507
3/01/1992,0.0864,0.007857047
4/01/1992,0.0864,0.007712087
5/01/1992,0,0.007571441
6/01/1992,0,0.00743493
7/01/1992,0,0.007302388
8/01/1992,0,0.007173655
9/01/1992,0,0.007048581
10/01/1992,0,0.00692702
11/01/1992,0,0.006808839
12/01/1992,0,0.006693905
13/01/1992,0,0.006582098
14/01/1992,0,0.006473299
15/01/1992,0,0.006367396
16/01/1992,0,0.006264284
17/01/1992,0,0.006163861
18/01/1992,0.0864,0.006066029
19/01/1992,0,0.005970698
20/01/1992,0,0.005877778
21/01/1992,0,0.005787186
22/01/1992,0,0.005698841
23/01/1992,0,0.005612666
24/01/1992,0,0.005528589
25/01/1992,0,0.005446537
26/01/1992,0,0.005366445
27/01/1992,0,0.005288247
28/01/1992,0,0.005211882
29/01/1992,0,0.00513729
30/01/1992,0,0.005064416
31/01/1992,0,0.004993203
1/02/1992,0,0.0049236
2/02/1992,0,0.004855557
3/02/1992,0,0.004789026
4/02/1992,0,0.00472396
5/02/1992,0,0.004660315
6/02/1992,0,0.004598047
7/02/1992,0,0.004537117
8/02/1992,0,0.004477484
9/02/1992,0,0.00441911
10/02/1992,0,0.004361959
11/02/1992,0,0.004305994
12/02/1992,0,0.00429063
13/02/1992,1.9008,0.004251136
14/02/1992,0.6912,0.004197424
15/02/1992,0.2592,0.004144803
16/02/1992,0.3456,0.00409324
17/02/1992,0.1728,0.004042708
18/02/1992,0.0864,0.003993177
19/02/1992,0.0864,0.003944621
20/02/1992,0,0.003897012
21/02/1992,0,0.003850327
22/02/1992,0,0.003804539
23/02/1992,0,0.003759625
24/02/1992,0,0.003715563
25/02/1992,0,0.003672329
26/02/1992,0,0.003629903
27/02/1992,0,0.003588263
28/02/1992,0,0.00354739
29/02/1992,0,0.003507264
1/03/1992,0,0.005205873
2/03/1992,5.8752,0.006973171
3/03/1992,1.5552,0.02624109
4/03/1992,5.9616,0.02724912
5/03/1992,7.5168,0.006548182
6/03/1992,6.1344,0.005399174
7/03/1992,3.024,0.005309071
8/03/1992,1.6416,0.005222234
9/03/1992,1.0368,0.005138394
10/03/1992,0.7776,0.005057319
11/03/1992,0.6048,0.004978831
12/03/1992,0.5184,0.004902771
13/03/1992,0.432,0.004829021
14/03/1992,0.432,0.004757454
15/03/1992,0.3456,0.004687976
16/03/1992,0.3456,0.004620457
17/03/1992,0.3456,0.004554785
18/03/1992,0.2592,0.004490868
19/03/1992,0.2592,0.004428615
20/03/1992,0.2592,0.00436795
21/03/1992,0.2592,0.004308821
22/03/1992,0.2592,0.004251146
23/03/1992,0.6912,0.004194859
24/03/1992,0.5184,0.004139902
25/03/1992,0.432,0.004086219
26/03/1992,0.3456,0.004033758
27/03/1992,0.3456,0.004206605
28/03/1992,0.3456,0.004233788
29/03/1992,2.6784,0.004176921
30/03/1992,2.592,0.004121481
31/03/1992,1.728,0.0040674
1/04/1992,1.0368,0.01012067
2/04/1992,0.6912,0.009962426
3/04/1992,0.6048,0.009809409
4/04/1992,0.5184,0.009661266
5/04/1992,0.432,0.009740915
6/04/1992,0.3456,0.032354082
7/04/1992,3.1104,0.098067601
8/04/1992,8.1216,0.062981161
9/04/1992,6.7392,0.060475591
10/04/1992,2.8512,0.057549252
11/04/1992,2.16,0.053951104
12/04/1992,1.5552,0.054691557
13/04/1992,1.1232,0.054288244
14/04/1992,1.0368,0.053143933
15/04/1992,1.0368,0.117917354
