,date,obs,pred
1,1/01/1980,0.1728,0.458098497
2,2/01/1980,0.1728,0.423794445
3,3/01/1980,0.1728,0.403080936
4,4/01/1980,0.1728,0.385056586
5,5/01/1980,0.1728,0.362810086
6,6/01/1980,0.1728,0.343724414
7,7/01/1980,0.1728,0.329250975
8,8/01/1980,0.6912,0.316729541
9,9/01/1980,0.5184,0.305500436
10,10/01/1980,0.5184,0.295126161
11,11/01/1980,0.6048,0.290029171
12,12/01/1980,1.296,0.285759758
13,13/01/1980,0.864,0.271273276
14,14/01/1980,0.6048,0.260822886
15,15/01/1980,0.6048,0.252163942
16,16/01/1980,0.864,0.24442045
17,17/01/1980,0.7776,0.237239679
18,18/01/1980,0.6912,0.230471436
19,19/01/1980,-9999,0.224044743
20,20/01/1980,-9999,0.217920262
21,21/01/1980,-9999,0.212071946
22,22/01/1980,-9999,0.20647988
23,23/01/1980,-9999,0.201127383
24,24/01/1980,-9999,0.195999745
25,25/01/1980,-9999,0.191083659
26,26/01/1980,-9999,0.186366901
27,27/01/1980,-9999,0.181838177
28,28/01/1980,0.5184,0.177487044
29,29/01/1980,0.5184,0.173303836
30,30/01/1980,0.5184,0.169279566
31,31/01/1980,0.5184,0.165405857
32,1/02/1980,0.432,0.1616749
33,2/02/1980,0.5184,0.158079417
34,3/02/1980,1.5552,0.154612606
35,4/02/1980,1.6416,0.1512681
36,5/02/1980,1.5552,0.14803993
37,6/02/1980,1.9872,0.144922501
38,7/02/1980,1.9008,0.141910563
39,8/02/1980,1.728,0.138999189
40,9/02/1980,1.6416,0.136183743
41,10/02/1980,1.6416,0.133459865
42,11/02/1980,1.5552,0.130823447
43,12/02/1980,1.5552,0.128270617
44,13/02/1980,1.4688,0.125797722
45,14/02/1980,1.296,0.123401315
46,15/02/1980,1.728,0.121078138
47,16/02/1980,3.456,0.118825109
48,17/02/1980,23.1552,0.116639311
49,18/02/1980,12.0096,0.114517982
50,19/02/1980,9.7632,0.112458505
51,20/02/1980,8.208,0.110458397
52,21/02/1980,6.5664,0.108515304
53,22/02/1980,5.2704,0.106626988
54,23/02/1980,4.32,0.104791326
55,24/02/1980,3.7152,0.103006298
56,25/02/1980,3.1968,0.101269982
57,26/02/1980,2.7648,0.099580551
58,27/02/1980,2.4192,0.097936262
59,28/02/1980,2.3328,0.096335457
60,29/02/1980,2.16,0.094776555
61,1/03/1980,2.16,0.093258048
62,2/03/1980,1.9872,0.091778497
63,3/03/1980,1.9008,0.090336527
64,4/03/1980,1.9008,0.088930827
65,5/03/1980,1.9008,0.087560143
66,6/03/1980,1.9872,0.086223275
67,7/03/1980,1.9008,0.084920457
68,8/03/1980,1.4688,0.083647025
69,9/03/1980,1.296,0.082404567
70,10/03/1980,0.9504,0.081191823
71,11/03/1980,1.5552,0.08000772
72,12/03/1980,14.6016,0.078851284
73,13/03/1980,21.168,0.077721609
74,14/03/1980,17.1936,0.076617833
75,15/03/1980,11.7504,0.075539139
