,date,obs,pred
1,1/01/2000,0.2137,0.227623922
2,2/01/2000,0.2053,0.220888824
3,3/01/2000,0.1944,0.215146049
4,4/01/2000,0.1889,0.209689606
5,5/01/2000,0.1952,0.212054841
6,6/01/2000,0.2074,0.239666682
7,7/01/2000,0.3405,0.290529611
8,8/01/2000,0.3624,0.287405193
9,9/01/2000,0.2661,0.258628845
10,10/01/2000,0.2274,0.236007079
11,11/01/2000,0.2082,0.225952492
12,12/01/2000,0.1893,0.219491353
13,13/01/2000,0.18,0.213571509
14,14/01/2000,0.1718,0.207927117
15,15/01/2000,0.1693,0.20254359
16,16/01/2000,0.16,0.197416797
17,17/01/2000,0.1574,0.192543074
18,18/01/2000,0.1562,0.187886336
19,19/01/2000,0.1537,0.183421161
20,20/01/2000,0.1549,0.179132715
21,21/01/2000,0.1545,0.175013565
22,22/01/2000,0.1511,0.171070477
23,23/01/2000,0.1506,0.169352456
24,24/01/2000,0.1861,0.174033113
25,25/01/2000,0.2436,0.18335051
26,26/01/2000,0.2219,0.178143527
27,27/01/2000,0.1794,0.168440663
28,28/01/2000,0.1634,0.161329154
29,29/01/2000,0.1534,0.165857333
30,30/01/2000,0.1778,0.197023048
31,31/01/2000,0.3253,0.249172427
32,1/02/2000,0.267,0.238246646
33,2/02/2000,0.2036,0.208094241
34,3/02/2000,0.183,0.188390541
35,4/02/2000,0.1635,0.181969182
36,5/02/2000,0.1614,0.177886044
37,6/02/2000,0.1544,0.174898918
38,7/02/2000,0.1565,0.172726629
39,8/02/2000,0.1814,0.168679437
40,9/02/2000,0.1751,0.164128897
41,10/02/2000,0.1588,0.160050772
42,11/02/2000,0.149,0.156726143
43,12/02/2000,0.1453,0.154159505
44,13/02/2000,0.1517,0.152120723
45,14/02/2000,0.1557,0.148907824
46,15/02/2000,0.1534,0.145378642
47,16/02/2000,0.149,0.142177681
48,17/02/2000,0.1364,0.139366761
49,18/02/2000,0.1313,0.136693056
50,19/02/2000,0.1242,0.134108593
51,20/02/2000,0.1192,0.131608046
52,21/02/2000,0.1138,0.129188025
53,22/02/2000,0.1138,0.126847827
54,23/02/2000,0.1083,0.124586071
55,24/02/2000,0.1082,0.122394881
56,25/02/2000,0.1085,0.120269628
57,26/02/2000,0.1084,0.118208422
58,27/02/2000,0.104,0.116209939
59,28/02/2000,0.1057,0.114272205
60,29/02/2000,0.106,0.112392983
61,1/03/2000,0.1045,0.110568639
62,2/03/2000,0.1046,0.108796963
63,3/03/2000,0.1032,0.107076446
64,4/03/2000,0.1035,0.105404404
65,5/03/2000,0.1038,0.103778744
66,6/03/2000,0.1041,0.102198425
67,7/03/2000,0.1043,0.100662666
68,8/03/2000,0.1041,0.099169252
69,9/03/2000,0.1002,0.097715826
70,10/03/2000,0.0994,0.096301063
71,11/03/2000,0.099,0.094923299
72,12/03/2000,0.0957,0.09432431
73,13/03/2000,0.0969,0.09595925
74,14/03/2000,0.1052,0.099132354
75,15/03/2000,0.1198,0.097735446
76,16/03/2000,0.3552,0.096301298
77,17/03/2000,0.1729,0.09971939
78,18/03/2000,0.1527,0.10827062
79,19/03/2000,0.1973,0.138348928
80,20/03/2000,0.2525,0.205072427
81,21/03/2000,2.1001,0.323109537
82,22/03/2000,0.9695,0.340155591
83,23/03/2000,0.791,0.32055263
84,24/03/2000,0.634,0.276151851
85,25/03/2000,0.4861,0.25883004
86,26/03/2000,0.4528,0.271859605
87,27/03/2000,0.4284,0.279685055
88,28/03/2000,0.3874,0.279847808
89,29/03/2000,0.3513,0.341021835
90,30/03/2000,0.9728,0.479626048
91,31/03/2000,0.9106,0.504549463
92,1/04/2000,0.7067,0.53316359
93,2/04/2000,1.3924,0.664979999
94,3/04/2000,1.482,0.680448749
95,4/04/2000,1.071,0.595793626
96,5/04/2000,0.8115,0.518665217
97,6/04/2000,0.6395,0.475190751
98,7/04/2000,0.5361,0.448855868
99,8/04/2000,0.4658,0.449870447
100,9/04/2000,0.4505,0.521179387
101,10/04/2000,0.6548,0.6547906
102,11/04/2000,0.671,0.666465746
103,12/04/2000,0.7576,0.648454156
104,13/04/2000,0.5954,0.579889948
105,14/04/2000,0.5102,0.524612718
106,15/04/2000,0.461,0.485146313
107,16/04/2000,0.4205,0.457511653
108,17/04/2000,0.3896,0.433833149
109,18/04/2000,0.3671,0.412547781
110,19/04/2000,0.3411,0.393313277
111,20/04/2000,0.3237,0.375849224
112,21/04/2000,0.3064,0.364715861
113,22/04/2000,0.2985,0.370071331
114,23/04/2000,0.2962,0.387831888
115,24/04/2000,0.2972,0.37866523
116,25/04/2000,0.3108,0.386924446
117,26/04/2000,0.4074,0.420888158
118,27/04/2000,0.3696,0.403150926
119,28/04/2000,0.3177,0.370401251
120,29/04/2000,0.2926,0.345307401
121,30/04/2000,0.282,0.330682157
122,1/05/2000,0.2692,0.3187247
123,2/05/2000,0.2579,0.307706034
124,3/05/2000,0.2492,0.297475132
125,4/05/2000,0.2385,0.287950928
126,5/05/2000,0.2363,0.27906312
127,6/05/2000,0.236,0.270752871
128,7/05/2000,0.2304,0.262975319
129,8/05/2000,0.2276,0.269896916
130,9/05/2000,0.263,0.341713757
131,10/05/2000,0.8874,0.524778653
132,11/05/2000,0.7895,0.654526787
133,12/05/2000,0.5496,0.587740552
134,13/05/2000,0.4458,0.496325594
135,14/05/2000,0.4126,0.443605852
136,15/05/2000,0.3856,0.419398974
137,16/05/2000,0.3658,0.405336761
138,17/05/2000,0.3574,0.476901441
139,18/05/2000,0.536,0.84525069
