,date,obs,pred
1,21/01/1988,0.0363,0.073677297
2,22/01/1988,0.0331,0.071761707
3,23/01/1988,0.0317,0.069924304
4,24/01/1988,0.0334,0.068169031
5,25/01/1988,0.0493,0.066483903
6,26/01/1988,0.0521,0.064862272
7,27/01/1988,0.0465,0.06330075
8,28/01/1988,0.0405,0.061796416
9,29/01/1988,0.0373,0.060346542
10,30/01/1988,0.032,0.05894867
11,31/01/1988,0.0299,0.057600615
12,1/02/1988,0.031,0.056299713
13,2/02/1988,0.031,0.055043752
14,3/02/1988,0.031,0.053830701
15,4/02/1988,0.0271,0.052658642
16,5/02/1988,0.0257,0.051526698
17,6/02/1988,0.026,0.052243926
18,7/02/1988,0.0971,0.064731704
19,8/02/1988,0.0891,0.067155171
20,9/02/1988,0.0598,0.058597298
21,10/02/1988,0.0496,0.05723438
22,11/02/1988,0.0436,0.05592121
23,12/02/1988,0.0387,0.054655464
24,13/02/1988,0.0366,0.053435266
25,14/02/1988,0.0356,0.052257937
26,15/02/1988,0.0327,0.051121375
27,16/02/1988,0.0303,0.050023681
28,17/02/1988,0.0296,0.048963071
29,18/02/1988,0.0299,0.04793786
30,19/02/1988,0.0292,0.046946462
31,20/02/1988,0.026,0.045987378
32,21/02/1988,0.0264,0.045059196
33,22/02/1988,0.0268,0.044160579
34,23/02/1988,0.026,0.043290261
35,24/02/1988,0.026,0.042447048
36,25/02/1988,0.0236,0.041629806
37,26/02/1988,0.0229,0.040837461
38,27/02/1988,0.0225,0.040069044
39,28/02/1988,0.0232,0.039323761
40,29/02/1988,0.0225,0.038600483
41,1/03/1988,0.0215,0.037898308
42,2/03/1988,0.0211,0.03721642
43,3/03/1988,0.0208,0.03749641
44,4/03/1988,0.0253,0.041406185
45,5/03/1988,0.0408,0.043248334
46,6/03/1988,0.0317,0.040509099
47,7/03/1988,0.0275,0.039746854
48,8/03/1988,0.0253,0.039007691
49,9/03/1988,0.0253,0.03829057
50,10/03/1988,0.0246,0.037594853
51,11/03/1988,0.0246,0.037748656
52,12/03/1988,0.0588,0.041065511
53,13/03/1988,0.062,0.040874415
54,14/03/1988,0.0535,0.040101091
55,15/03/1988,0.0486,0.039351322
56,16/03/1988,0.0444,0.03862413
57,17/03/1988,0.038,0.037918586
58,18/03/1988,0.0348,0.037233817
59,19/03/1988,0.0324,0.036568995
60,20/03/1988,0.0296,0.035923333
61,21/03/1988,0.0292,0.035296082
62,22/03/1988,0.0275,0.034686531
63,23/03/1988,0.026,0.034094005
64,24/03/1988,0.026,0.033517859
65,25/03/1988,0.0271,0.032957479
66,26/03/1988,0.0275,0.032412279
67,27/03/1988,0.0278,0.031881702
68,28/03/1988,0.0275,0.031365215
69,29/03/1988,0.0268,0.030875419
70,30/03/1988,0.0271,0.031078423
71,31/03/1988,0.0535,0.033640126
72,1/04/1988,0.0824,0.033525764
73,2/04/1988,0.0605,0.03296687
74,3/04/1988,0.044,0.03242318
75,4/04/1988,0.0415,0.031894131
76,5/04/1988,0.0384,0.031379186
77,6/04/1988,0.0363,0.030877835
78,7/04/1988,0.0338,0.030942178
79,8/04/1988,0.0419,0.033098591
80,9/04/1988,0.063,0.03293967
81,10/04/1988,0.0535,0.032398445
82,11/04/1988,0.0444,0.031871839
83,12/04/1988,0.0412,0.031359326
84,13/04/1988,0.0401,0.030860441
85,14/04/1988,0.0408,0.030374632
86,15/04/1988,0.0398,0.029901424
87,16/04/1988,0.0394,0.02944037
88,17/04/1988,0.0384,0.028991041
89,18/04/1988,0.0391,0.028553028
90,19/04/1988,0.0398,0.028125938
91,20/04/1988,0.0408,0.027709395
92,21/04/1988,0.0401,0.027303041
93,22/04/1988,0.0401,0.026906557
94,23/04/1988,0.0415,0.026519706
95,24/04/1988,0.0419,0.026142075
96,25/04/1988,0.044,0.025773426
97,26/04/1988,0.0429,0.026349329
98,27/04/1988,0.0715,0.04099745
99,28/04/1988,0.0989,0.043999453
100,29/04/1988,0.0683,0.030401057
101,30/04/1988,0.0574,0.029931882
102,1/05/1988,0.0528,0.029474801
103,2/05/1988,0.0493,0.029029405
104,3/05/1988,0.0489,0.028595257
105,4/05/1988,0.0486,0.028171963
106,5/05/1988,0.0496,0.028485058
107,6/05/1988,0.0507,0.036770547
108,7/05/1988,0.1084,0.048707397
109,8/05/1988,0.1123,0.033939224
110,9/05/1988,0.0803,0.033544878
111,10/05/1988,0.0704,0.033022701
112,11/05/1988,0.0648,0.032492077
113,12/05/1988,0.0605,0.031975901
114,13/05/1988,0.0581,0.03147363
115,14/05/1988,0.0581,0.030984746
116,15/05/1988,0.0556,0.030856076
117,16/05/1988,0.0609,0.066879868
118,17/05/1988,0.6941,0.277133421
119,18/05/1988,1.8511,0.403879778
120,19/05/1988,0.4009,0.323251141
121,20/05/1988,0.3812,0.300916758
122,21/05/1988,0.402,0.262146266
123,22/05/1988,0.2594,0.250771677
124,23/05/1988,0.2024,0.425702593
125,24/05/1988,4.2636,0.774301025
126,25/05/1988,0.8997,0.657628577
127,26/05/1988,0.4217,0.51915685
128,27/05/1988,0.3122,0.511690209
129,28/05/1988,0.3647,0.573682167
130,29/05/1988,0.7677,0.570481654
131,30/05/1988,0.3833,0.512674751
132,31/05/1988,0.2946,0.459539753
133,1/06/1988,0.2584,0.415819759
134,2/06/1988,0.2309,0.379291639
135,3/06/1988,0.213,0.348372314
136,4/06/1988,0.2006,0.363722868
137,5/06/1988,0.3192,0.712072424
138,6/06/1988,2.2802,1.226989835
139,7/06/1988,7.6779,2.010401515
140,8/06/1988,3.6508,1.730461416
141,9/06/1988,1.5185,1.28462537
142,10/06/1988,0.9979,1.101398653
143,11/06/1988,1.6068,1.113913009
144,12/06/1988,0.9729,0.953515461
145,13/06/1988,0.7399,0.856149749
146,14/06/1988,0.7114,0.936287678
147,15/06/1988,1.3221,0.924255826
148,16/06/1988,0.9014,0.804619042
149,17/06/1988,0.6804,0.701504395
150,18/06/1988,0.5931,0.666264907
151,19/06/1988,0.9556,0.81718228
152,20/06/1988,1.0447,0.833106423
153,21/06/1988,1.378,1.115926245
154,22/06/1988,1.7786,0.968422835
155,23/06/1988,0.8842,0.82927886
156,24/06/1988,0.7321,0.725193837
157,25/06/1988,0.6427,0.644740726
158,26/06/1988,0.592,0.580911878
159,27/06/1988,0.5586,0.529195157
160,28/06/1988,0.5375,0.486570994
161,29/06/1988,0.5093,0.450884807
162,30/06/1988,0.4724,0.420626717
163,1/07/1988,0.4509,0.394705381
164,2/07/1988,0.4365,0.372281375
165,3/07/1988,0.4217,0.352720458
166,4/07/1988,0.409,0.3360918
167,5/07/1988,0.4076,0.341219295
168,6/07/1988,0.4805,0.448163913
169,7/07/1988,0.6389,0.628244678
