,date,obs,pred
1,21/01/1988,0.0363,0.035686889
2,22/01/1988,0.0331,0.034650553
3,23/01/1988,0.0317,0.03366136
4,24/01/1988,0.0334,0.032717175
5,25/01/1988,0.0493,0.031814976
6,26/01/1988,0.0521,0.030951734
7,27/01/1988,0.0465,0.030125137
8,28/01/1988,0.0405,0.02933312
9,29/01/1988,0.0373,0.028573765
10,30/01/1988,0.032,0.027845287
11,31/01/1988,0.0299,0.027146031
12,1/02/1988,0.031,0.026474421
13,2/02/1988,0.031,0.025828983
14,3/02/1988,0.031,0.025208352
15,4/02/1988,0.0271,0.024611253
16,5/02/1988,0.0257,0.024036535
17,6/02/1988,0.026,0.023846857
18,7/02/1988,0.0971,0.025021858
19,8/02/1988,0.0891,0.025407355
20,9/02/1988,0.0598,0.024804682
21,10/02/1988,0.0496,0.024224479
22,11/02/1988,0.0436,0.023665627
23,12/02/1988,0.0387,0.023127084
24,13/02/1988,0.0366,0.022607885
25,14/02/1988,0.0356,0.022107087
26,15/02/1988,0.0327,0.021623799
27,16/02/1988,0.0303,0.021157198
28,17/02/1988,0.0296,0.020706512
29,18/02/1988,0.0299,0.02027101
30,19/02/1988,0.0292,0.019850004
31,20/02/1988,0.026,0.019442844
32,21/02/1988,0.0264,0.019048915
33,22/02/1988,0.0268,0.018667637
34,23/02/1988,0.026,0.018298461
35,24/02/1988,0.026,0.017940868
36,25/02/1988,0.0236,0.017594367
37,26/02/1988,0.0229,0.01725849
38,27/02/1988,0.0225,0.016932799
39,28/02/1988,0.0232,0.016616879
40,29/02/1988,0.0225,0.016310329
41,1/03/1988,0.0215,0.016012769
42,2/03/1988,0.0211,0.01572384
43,3/03/1988,0.0208,0.015583997
44,4/03/1988,0.0253,0.015967168
45,5/03/1988,0.0408,0.016048452
46,6/03/1988,0.0317,0.015759089
47,7/03/1988,0.0275,0.015477994
48,8/03/1988,0.0253,0.015204852
49,9/03/1988,0.0253,0.014939356
50,10/03/1988,0.0246,0.014681222
51,11/03/1988,0.0246,0.014558276
52,12/03/1988,0.0588,0.014910878
53,13/03/1988,0.062,0.014989173
54,14/03/1988,0.0535,0.014730288
55,15/03/1988,0.0486,0.01447847
56,16/03/1988,0.0444,0.014233458
57,17/03/1988,0.038,0.013995004
58,18/03/1988,0.0348,0.013762873
59,19/03/1988,0.0324,0.013536837
60,20/03/1988,0.0296,0.013316681
61,21/03/1988,0.0292,0.013102198
62,22/03/1988,0.0275,0.01289319
63,23/03/1988,0.026,0.012689468
64,24/03/1988,0.026,0.012490851
65,25/03/1988,0.0271,0.012297166
66,26/03/1988,0.0275,0.012108246
67,27/03/1988,0.0278,0.011923933
68,28/03/1988,0.0275,0.011744074
69,29/03/1988,0.0268,0.011570236
70,30/03/1988,0.0271,0.011498306
71,31/03/1988,0.0535,0.011762352
72,1/04/1988,0.0824,0.011826337
73,2/04/1988,0.0605,0.01164925
74,3/04/1988,0.044,0.01147636
75,4/04/1988,0.0415,0.011307533
76,5/04/1988,0.0384,0.011142639
77,6/04/1988,0.0363,0.010981555
78,7/04/1988,0.0338,0.010908634
79,8/04/1988,0.0419,0.011148737
80,9/04/1988,0.063,0.01120866
81,10/04/1988,0.0535,0.011046462
82,11/04/1988,0.0444,0.010887974
83,12/04/1988,0.0412,0.010733082
84,13/04/1988,0.0401,0.010581677
85,14/04/1988,0.0408,0.010433652
86,15/04/1988,0.0398,0.010288904
87,16/04/1988,0.0394,0.010147335
88,17/04/1988,0.0384,0.010008849
89,18/04/1988,0.0391,0.009873357
90,19/04/1988,0.0398,0.009740769
91,20/04/1988,0.0408,0.009611002
92,21/04/1988,0.0401,0.009483973
93,22/04/1988,0.0401,0.009359606
94,23/04/1988,0.0415,0.009237828
95,24/04/1988,0.0419,0.009118563
96,25/04/1988,0.044,0.009001743
97,26/04/1988,0.0429,0.009041618
98,27/04/1988,0.0715,0.00966598
99,28/04/1988,0.0989,0.009962647
100,29/04/1988,0.0683,0.009829048
101,30/04/1988,0.0574,0.009698276
102,1/05/1988,0.0528,0.009570249
103,2/05/1988,0.0493,0.009444892
104,3/05/1988,0.0489,0.009322129
105,4/05/1988,0.0486,0.009201885
106,5/05/1988,0.0496,0.009218125
107,6/05/1988,0.0507,0.009824713
108,7/05/1988,0.1084,0.010477443
109,8/05/1988,0.1123,0.010574563
110,9/05/1988,0.0803,0.01046281
111,10/05/1988,0.0704,0.010338386
112,11/05/1988,0.0648,0.010198358
113,12/05/1988,0.0605,0.010061317
114,13/05/1988,0.0581,0.00992718
115,14/05/1988,0.0581,0.009795862
116,15/05/1988,0.0556,0.009740088
117,16/05/1988,0.0609,0.022973289
118,17/05/1988,0.6941,0.145115067
119,18/05/1988,1.8511,0.285055688
120,19/05/1988,0.4009,0.254096335
121,20/05/1988,0.3812,0.210819745
122,21/05/1988,0.402,0.179112749
123,22/05/1988,0.2594,0.181891576
124,23/05/1988,0.2024,0.312782208
125,24/05/1988,4.2636,0.790766957
126,25/05/1988,0.8997,0.793001018
127,26/05/1988,0.4217,0.639755481
128,27/05/1988,0.3122,0.60544901
129,28/05/1988,0.3647,0.697489725
130,29/05/1988,0.7677,0.739207317
131,30/05/1988,0.3833,0.647943002
132,31/05/1988,0.2946,0.544275565
133,1/06/1988,0.2584,0.467297234
134,2/06/1988,0.2309,0.408172966
135,3/06/1988,0.213,0.361528127
136,4/06/1988,0.2006,0.381265401
137,5/06/1988,0.3192,0.773202176
138,6/06/1988,2.2802,1.88550612
139,7/06/1988,7.6779,3.560320399
140,8/06/1988,3.6508,3.434894114
141,9/06/1988,1.5185,2.191853221
142,10/06/1988,0.9979,1.606768654
143,11/06/1988,1.6068,1.556310164
144,12/06/1988,0.9729,1.34824604
145,13/06/1988,0.7399,1.120770936
146,14/06/1988,0.7114,1.249547132
147,15/06/1988,1.3221,1.34243429
148,16/06/1988,0.9014,1.138401442
149,17/06/1988,0.6804,0.915515828
150,18/06/1988,0.5931,0.843097505
151,19/06/1988,0.9556,1.107934178
152,20/06/1988,1.0447,1.297145208
153,21/06/1988,1.378,1.759375861
154,22/06/1988,1.7786,1.727197879
155,23/06/1988,0.8842,1.283902785
156,24/06/1988,0.7321,1.021825383
157,25/06/1988,0.6427,0.850794978
158,26/06/1988,0.592,0.731421416
159,27/06/1988,0.5586,0.643961726
160,28/06/1988,0.5375,0.577538039
161,29/06/1988,0.5093,0.525533315
162,30/06/1988,0.4724,0.483800789
163,1/07/1988,0.4509,0.449705342
164,2/07/1988,0.4365,0.421395297
165,3/07/1988,0.4217,0.397552777
166,4/07/1988,0.409,0.378142163
167,5/07/1988,0.4076,0.392856565
168,6/07/1988,0.4805,0.55833971
169,7/07/1988,0.6389,0.867697546
170,8/07/1988,0.9877,1.353580136
171,9/07/1988,1.0605,1.92037915
172,10/07/1988,2.3527,2.420691339
173,11/07/1988,1.2482,2.13688294
174,12/07/1988,0.9067,1.562144859
175,13/07/1988,0.7592,1.210985683
176,14/07/1988,0.6772,1.06789637
177,15/07/1988,0.7782,1.260110701
178,16/07/1988,1.0672,1.325437529
179,17/07/1988,0.9208,1.391744769
180,18/07/1988,0.9314,1.28107845
181,19/07/1988,0.6783,1.239573148
182,20/07/1988,0.937,2.229768083
183,21/07/1988,2.7694,2.918804506
184,22/07/1988,1.77,2.390195333
185,23/07/1988,1.2,1.87784844
186,24/07/1988,0.939,1.563088546
187,25/07/1988,0.955,2.032169162
188,26/07/1988,5.94,4.262250759
189,27/07/1988,2.16,4.071964041
190,28/07/1988,1.41,2.489138177
191,29/07/1988,1.18,1.781093546
192,30/07/1988,1.11,1.398628687
193,31/07/1988,1.02,1.164786455
